accession_version	Accession	Strain	Country	Province	Location	Export_country	Common_name	Species_latin_binomial	Year	Major_clade	Minor_clade	Source	Reference	Coverage	Dataset	full_minor	region	location	host_common_name	host_latin_name	submitters	collection_year
MN233929.1																	North America	Canada		Vulpes vulpes	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2012
MN233928.1																	North America	Canada		Vulpes vulpes	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2012
MN233927.1																	North America	Canada		Vulpes vulpes	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2012
MN233926.1																	North America	Canada		Vulpes vulpes	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2012
MN233925.1																	North America	Canada		Vulpes vulpes	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2012
MN233924.1																	North America	Canada		Vulpes vulpes	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2012
MN233923.1																	North America	Canada		Canis lupus familiaris	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2004
MN233922.1																	North America	Canada		Vulpes vulpes	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2004
MN233921.1																	North America	Canada		Vulpes vulpes	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2004
MN233920.1																	North America	Canada		Vulpes vulpes	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2004
MN233919.1																	North America	Canada		Vulpes vulpes	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2003
MN233918.1																	North America	Canada		Vulpes vulpes	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2003
MN233917.1																	North America	Canada		Vulpes vulpes	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2003
MN233916.1																	North America	Canada		Vulpes vulpes	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2003
MN233915.1																	North America	Canada		Vulpes vulpes	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2002
MN233914.1																	North America	Canada		Vulpes vulpes	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2002
MN233913.1																	North America	Canada		Vulpes vulpes	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2002
MN233912.1																	North America	Canada		Vulpes vulpes	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	1996
MN233911.1																	North America	Canada		Vulpes vulpes	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	1996
MN233910.1																	North America	Canada		Vulpes vulpes	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	1996
MN233909.1																	North America	Canada		Vulpes vulpes	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	1996
MN233908.1																	North America	Canada		Vulpes vulpes	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	1996
MN233907.1																	North America	Canada		Vulpes vulpes	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	1996
MN233906.1																	North America	Canada		Vulpes vulpes	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	1996
MN233905.1																	North America	Canada		Canis lupus familiaris	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2012
MN233904.1																	North America	Canada		Vulpes vulpes	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2012
MN233903.1																	North America	Canada		Vulpes vulpes	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2005
MN233902.1																	North America	USA		Vulpes lagopus	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2008
MN233901.1																	North America	USA		Vulpes vulpes	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2008
MN233900.1																	North America	USA		Vulpes lagopus	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2007
MN233899.1																	North America	USA		Vulpes lagopus	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	2007
MN233898.1																	North America	USA		Vulpes vulpes	Nadin-Davis,S.A.,Falardeau,E.,Flynn,A.,Whitney,H.,Marshall,H.D.,Fallardeau,E.,Marshall,H.,Fehlner-Gardiner,C.	1989
MK598398.1																	Europe			Felis catus	Forro,B.,Banyai,K.	1996
MK598397.1																	Europe			Vulpes vulpes	Forro,B.,Banyai,K.	2014
MK598396.1																	Europe			Vulpes vulpes	Forro,B.,Banyai,K.	2014
MK598395.1																	Europe			Vulpes vulpes	Forro,B.,Banyai,K.	2014
MK598394.1																	Europe			Vulpes vulpes	Forro,B.,Banyai,K.	2014
MK598393.1																	Europe			Vulpes vulpes	Forro,B.,Banyai,K.	2014
MK598392.1																	Europe			Vulpes vulpes	Forro,B.,Banyai,K.	2014
MK598391.1																	Europe			Vulpes vulpes	Forro,B.,Banyai,K.	2014
MK598390.1																	Europe			Cervidae	Forro,B.,Banyai,K.	2014
MK598389.1																	Europe			Vulpes vulpes	Forro,B.,Banyai,K.	2013
MK598388.1																	Europe			Vulpes vulpes	Forro,B.,Banyai,K.	2013
MK598387.1																	Europe			Vulpes vulpes	Forro,B.,Banyai,K.	2013
MK598386.1																	Europe			Vulpes vulpes	Forro,B.,Banyai,K.	2013
MK598385.1																	Europe			Vulpes vulpes	Forro,B.,Banyai,K.	2013
MK598384.1																	Europe			Vulpes vulpes	Forro,B.,Banyai,K.	2013
MK598383.1																	Europe			Vulpes vulpes	Forro,B.,Banyai,K.	2013
MK598382.1																	Europe			Vulpes vulpes	Forro,B.,Banyai,K.	2013
MK598381.1																	Europe			Vulpes vulpes	Forro,B.,Banyai,K.	2013
MK598380.1																	Europe			Vulpes vulpes	Forro,B.,Banyai,K.	2013
MK598379.1																	Europe			Canis lupus familiaris	Forro,B.,Banyai,K.	2014
MK598378.1																	Europe			Capra hircus	Forro,B.,Banyai,K.	2014
MK598377.1																	Europe			Vulpes vulpes	Forro,B.,Banyai,K.	2014
MK598376.1																	Europe			Vulpes vulpes	Forro,B.,Banyai,K.	2014
MK598375.1																	Europe			Vulpes vulpes	Forro,B.,Banyai,K.	2014
MK598374.1																	Europe			Vulpes vulpes	Forro,B.,Banyai,K.	2014
MK598373.1																	Europe			Vulpes vulpes	Forro,B.,Banyai,K.	2014
MK598372.1																	Europe			Vulpes vulpes	Forro,B.,Banyai,K.	2014
MK598371.1																	Europe			Vulpes vulpes	Forro,B.,Banyai,K.	2014
MK598370.1																	Europe			Vulpes vulpes	Forro,B.,Banyai,K.	2014
MK598369.1																	Europe			Vulpes vulpes	Forro,B.,Banyai,K.	2014
MK598368.1																	Europe			Vulpes vulpes	Forro,B.,Banyai,K.	2014
MK598367.1																	Europe			Vulpes vulpes	Forro,B.,Banyai,K.	2014
MK598366.1																	Europe			Vulpes vulpes	Forro,B.,Banyai,K.	2014
MK598365.1																	Europe			Vulpes vulpes	Forro,B.,Banyai,K.	2014
MK598364.1																	Europe			Bos taurus	Forro,B.,Banyai,K.	2013
MK598363.1																	Europe			Vulpes vulpes	Forro,B.,Banyai,K.	2013
MK598362.1																	Europe			Bos taurus	Forro,B.,Banyai,K.	2013
MK598361.1																	Europe			Vulpes vulpes	Forro,B.,Banyai,K.	2013
MK598360.1																	Europe			Vulpes vulpes	Forro,B.,Banyai,K.	2013
MK598359.1																	Europe			Vulpes vulpes	Forro,B.,Banyai,K.	2013
MK598358.1																	Europe			Vulpes vulpes	Forro,B.,Banyai,K.	2013
MK598357.1																	Europe			Vulpes vulpes	Forro,B.,Banyai,K.	2013
MK598356.1																	Europe			Vulpes vulpes	Forro,B.,Banyai,K.	2013
MK598355.1																	Europe			Vulpes vulpes	Forro,B.,Banyai,K.	2013
MK598354.1																	Europe			Vulpes vulpes	Forro,B.,Banyai,K.	2013
MK598353.1																	Europe			Vulpes vulpes	Forro,B.,Banyai,K.	2013
MK598352.1																	Europe			Vulpes vulpes	Forro,B.,Banyai,K.	2013
MK598351.1																	Europe			Vulpes vulpes	Forro,B.,Banyai,K.	2013
MK598350.1																	Europe			Capra hircus	Forro,B.,Banyai,K.	2017
MK598349.1																	Europe			Capra hircus	Forro,B.,Banyai,K.	2017
MK598348.1																	Europe			Vulpes vulpes	Forro,B.,Banyai,K.	2017
MK598347.1																	Europe			Vulpes vulpes	Forro,B.,Banyai,K.	2016
MK598346.1																	Europe			Vulpes vulpes	Forro,B.,Banyai,K.	2010
MK598345.1																	Europe			Vulpes vulpes	Forro,B.,Banyai,K.	2010
MK598344.1																	Europe			Vulpes vulpes	Forro,B.,Banyai,K.	2009
MK598343.1																	Europe			Vulpes vulpes	Forro,B.,Banyai,K.	2008
MK598342.1																	Europe			Vulpes vulpes	Forro,B.,Banyai,K.	2009
MK598341.1																	Europe			Vulpes vulpes	Forro,B.,Banyai,K.	2008
MK598340.1																	Europe			Vulpes vulpes	Forro,B.,Banyai,K.	2007
MK598339.1																	Europe			Vulpes vulpes	Forro,B.,Banyai,K.	2007
MK598338.1																	Europe			Vulpes vulpes	Forro,B.,Banyai,K.	2006
MK541012.1																	North America	Canada		Vulpes vulpes	Nadin-Davis,S.A.,Fehlner-Gardiner,C.	2000
MK541011.1																	North America	Canada		Mephitidae	Nadin-Davis,S.A.,Fehlner-Gardiner,C.	2018
MK541010.1																	North America	Canada		Mephitidae	Nadin-Davis,S.A.,Fehlner-Gardiner,C.	2018
MK541009.1																	North America	Canada		Mephitidae	Nadin-Davis,S.A.,Fehlner-Gardiner,C.	2018
MK541008.1																	North America	Canada		Mephitidae	Nadin-Davis,S.A.,Fehlner-Gardiner,C.	2017
MK541007.1																	North America	Canada		Mephitidae	Nadin-Davis,S.A.,Fehlner-Gardiner,C.	2017
MK541006.1																	North America	Canada		Mephitidae	Nadin-Davis,S.A.,Fehlner-Gardiner,C.	2017
MK541005.1																	North America	Canada		Mephitidae	Nadin-Davis,S.A.,Fehlner-Gardiner,C.	2017
MK541004.1																	North America	Canada		Vulpes vulpes	Nadin-Davis,S.A.,Fehlner-Gardiner,C.	2017
MK541003.1																	North America	Canada		Bos taurus	Nadin-Davis,S.A.,Fehlner-Gardiner,C.	2017
MK541002.1																	North America	Canada		Bos taurus	Nadin-Davis,S.A.,Fehlner-Gardiner,C.	2017
MK541001.1																	North America	Canada		Bos taurus	Nadin-Davis,S.A.,Fehlner-Gardiner,C.	2017
MK541000.1																	North America	Canada		Bos taurus	Nadin-Davis,S.A.,Fehlner-Gardiner,C.	2017
MK540999.1																	North America	Canada		Bos taurus	Nadin-Davis,S.A.,Fehlner-Gardiner,C.	2016
MK540998.1																	North America	Canada		Bos taurus	Nadin-Davis,S.A.,Fehlner-Gardiner,C.	2015
MK540997.1																	North America	Canada		Felis catus	Nadin-Davis,S.A.,Fehlner-Gardiner,C.	2012
MK540996.1																	North America	Canada		Mephitidae	Nadin-Davis,S.A.,Fehlner-Gardiner,C.	2012
MK540995.1																	North America	Canada		Mephitidae	Nadin-Davis,S.A.,Fehlner-Gardiner,C.	2011
MK540994.1																	North America	Canada		Bos taurus	Nadin-Davis,S.A.,Fehlner-Gardiner,C.	2011
MK540993.1																	North America	Canada		Mephitidae	Nadin-Davis,S.A.,Fehlner-Gardiner,C.	2010
MK540992.1																	North America	Canada		Mephitidae	Nadin-Davis,S.A.,Fehlner-Gardiner,C.	2009
MK540991.1																	North America	Canada		Vulpes vulpes	Nadin-Davis,S.A.,Fehlner-Gardiner,C.	2009
MK540990.1																	North America	Canada		Mephitidae	Nadin-Davis,S.A.,Fehlner-Gardiner,C.	2009
MK540989.1																	North America	Canada		Bos taurus	Nadin-Davis,S.A.,Fehlner-Gardiner,C.	2009
MK540988.1																	North America	Canada		Bos taurus	Nadin-Davis,S.A.,Fehlner-Gardiner,C.	2009
MK540987.1																	North America	Canada		Vulpes vulpes	Nadin-Davis,S.A.,Fehlner-Gardiner,C.	2009
MK540986.1																	North America	Canada		Mephitidae	Nadin-Davis,S.A.,Fehlner-Gardiner,C.	2008
MK540985.1																	North America	Canada		Vulpes vulpes	Nadin-Davis,S.A.,Fehlner-Gardiner,C.	2008
MK540984.1																	North America	Canada		Mephitidae	Nadin-Davis,S.A.,Fehlner-Gardiner,C.	2008
MK540983.1																	North America	Canada		Mephitidae	Nadin-Davis,S.A.,Fehlner-Gardiner,C.	2008
MK540982.1																	North America	Canada		Mephitidae	Nadin-Davis,S.A.,Fehlner-Gardiner,C.	2008
MK540981.1																	North America	Canada		Mephitidae	Nadin-Davis,S.A.,Fehlner-Gardiner,C.	2008
MK540980.1																	North America	Canada		Mephitidae	Nadin-Davis,S.A.,Fehlner-Gardiner,C.	2007
MK540979.1																	North America	Canada		Mephitidae	Nadin-Davis,S.A.,Fehlner-Gardiner,C.	2007
MK540978.1																	North America	Canada		Mephitidae	Nadin-Davis,S.A.,Fehlner-Gardiner,C.	2007
MK540977.1																	North America	Canada		Mephitidae	Nadin-Davis,S.A.,Fehlner-Gardiner,C.	2006
MK540976.1																	North America	Canada		Mephitidae	Nadin-Davis,S.A.,Fehlner-Gardiner,C.	2006
MK540975.1																	North America	Canada		Mephitidae	Nadin-Davis,S.A.,Fehlner-Gardiner,C.	2006
MK540974.1																	North America	Canada		Mephitidae	Nadin-Davis,S.A.,Fehlner-Gardiner,C.	2006
MK540973.1																	North America	Canada		Vulpes vulpes	Nadin-Davis,S.A.,Fehlner-Gardiner,C.	2006
MK540972.1																	North America	Canada		Mephitidae	Nadin-Davis,S.A.,Fehlner-Gardiner,C.	2006
MK540971.1																	North America	Canada		Mephitidae	Nadin-Davis,S.A.,Fehlner-Gardiner,C.	2006
MK540970.1																	North America	Canada		Mephitidae	Nadin-Davis,S.A.,Fehlner-Gardiner,C.	2005
MK540969.1																	North America	Canada		Vulpes vulpes	Nadin-Davis,S.A.,Fehlner-Gardiner,C.	2005
MK540968.1																	North America	Canada		Mephitidae	Nadin-Davis,S.A.,Fehlner-Gardiner,C.	2005
MK540967.1																	North America	Canada		Vulpes vulpes	Nadin-Davis,S.A.,Fehlner-Gardiner,C.	2005
MK540966.1																	North America	Canada		Mephitidae	Nadin-Davis,S.A.,Fehlner-Gardiner,C.	2004
MK540965.1																	North America	Canada		Mephitidae	Nadin-Davis,S.A.,Fehlner-Gardiner,C.	2004
MK540964.1																	North America	Canada		Mephitidae	Nadin-Davis,S.A.,Fehlner-Gardiner,C.	2004
MK540963.1																	North America	Canada		Vulpes vulpes	Nadin-Davis,S.A.,Fehlner-Gardiner,C.	2003
MK540962.1																	North America	Canada		Vulpes vulpes	Nadin-Davis,S.A.,Fehlner-Gardiner,C.	2003
MK540961.1																	North America	Canada		Mephitidae	Nadin-Davis,S.A.,Fehlner-Gardiner,C.	2003
MK540960.1																	North America	Canada		Mephitidae	Nadin-Davis,S.A.,Fehlner-Gardiner,C.	2003
MK540959.1																	North America	Canada		Mephitidae	Nadin-Davis,S.A.,Fehlner-Gardiner,C.	2002
MK540958.1																	North America	Canada		Mephitidae	Nadin-Davis,S.A.,Fehlner-Gardiner,C.	2002
MK540957.1																	North America	Canada		Mephitidae	Nadin-Davis,S.A.,Fehlner-Gardiner,C.	2002
MK540956.1																	North America	Canada		Mephitidae	Nadin-Davis,S.A.,Fehlner-Gardiner,C.	2002
MK540955.1																	North America	Canada		Mephitidae	Nadin-Davis,S.A.,Fehlner-Gardiner,C.	2001
MK540954.1																	North America	Canada		Mephitidae	Nadin-Davis,S.A.,Fehlner-Gardiner,C.	2001
MK540953.1																	North America	Canada		Mephitidae	Nadin-Davis,S.A.,Fehlner-Gardiner,C.	2001
MK540952.1																	North America	Canada		Mephitidae	Nadin-Davis,S.A.,Fehlner-Gardiner,C.	2001
MK540951.1																	North America	Canada		Mephitidae	Nadin-Davis,S.A.,Fehlner-Gardiner,C.	2001
MK540950.1																	North America	Canada		Mephitidae	Nadin-Davis,S.A.,Fehlner-Gardiner,C.	2001
MK540949.1																	North America	Canada		Mephitidae	Nadin-Davis,S.A.,Fehlner-Gardiner,C.	2001
MK540948.1																	North America	Canada		Mephitidae	Nadin-Davis,S.A.,Fehlner-Gardiner,C.	2001
MK540947.1																	North America	Canada		Mephitidae	Nadin-Davis,S.A.,Fehlner-Gardiner,C.	2001
MK540946.1																	North America	Canada		Mephitidae	Nadin-Davis,S.A.,Fehlner-Gardiner,C.	2001
MK540945.1																	North America	Canada		Mephitidae	Nadin-Davis,S.A.,Fehlner-Gardiner,C.	2000
MK540944.1																	North America	Canada		Mephitidae	Nadin-Davis,S.A.,Fehlner-Gardiner,C.	2000
MK540943.1																	North America	Canada		Vulpes vulpes	Nadin-Davis,S.A.,Fehlner-Gardiner,C.	2000
MK540942.1																	North America	Canada		Mephitidae	Nadin-Davis,S.A.,Fehlner-Gardiner,C.	2000
MK540941.1																	North America	Canada		Mephitidae	Nadin-Davis,S.A.,Fehlner-Gardiner,C.	2000
MK540940.1																	North America	Canada		Mephitidae	Nadin-Davis,S.A.,Fehlner-Gardiner,C.	2000
MK540939.1																	North America	Canada		Mephitidae	Nadin-Davis,S.A.,Fehlner-Gardiner,C.	2000
MK540938.1																	North America	Canada		Mephitidae	Nadin-Davis,S.A.,Fehlner-Gardiner,C.	2000
MK540937.1																	North America	Canada		Mephitidae	Nadin-Davis,S.A.,Fehlner-Gardiner,C.	2000
MK540936.1																	North America	Canada		Mephitidae	Nadin-Davis,S.A.,Fehlner-Gardiner,C.	2000
MK540935.1																	North America	Canada		Mephitidae	Nadin-Davis,S.A.,Fehlner-Gardiner,C.	1999
MK540934.1																	North America	Canada		Vulpes vulpes	Nadin-Davis,S.A.,Fehlner-Gardiner,C.	1999
MK540933.1																	North America	Canada		Mephitidae	Nadin-Davis,S.A.,Fehlner-Gardiner,C.	1999
MK540932.1																	North America	Canada		Mephitidae	Nadin-Davis,S.A.,Fehlner-Gardiner,C.	1999
MK540931.1																	North America	Canada		Mephitidae	Nadin-Davis,S.A.,Fehlner-Gardiner,C.	1999
MK540930.1																	North America	Canada		Vulpes vulpes	Nadin-Davis,S.A.,Fehlner-Gardiner,C.	1999
MK540929.1																	North America	Canada		Mephitidae	Nadin-Davis,S.A.,Fehlner-Gardiner,C.	1999
MK540928.1																	North America	Canada		Mephitidae	Nadin-Davis,S.A.,Fehlner-Gardiner,C.	1999
MK540927.1																	North America	Canada		Mephitidae	Nadin-Davis,S.A.,Fehlner-Gardiner,C.	1999
MK540926.1																	North America	Canada		Mephitidae	Nadin-Davis,S.A.,Fehlner-Gardiner,C.	1998
MK540925.1																	North America	Canada		Mephitidae	Nadin-Davis,S.A.,Fehlner-Gardiner,C.	1998
MK540924.1																	North America	Canada		Mephitidae	Nadin-Davis,S.A.,Fehlner-Gardiner,C.	1998
MK540923.1																	North America	Canada		Mephitidae	Nadin-Davis,S.A.,Fehlner-Gardiner,C.	1998
MK540922.1																	North America	Canada		Mephitidae	Nadin-Davis,S.A.,Fehlner-Gardiner,C.	1998
MK540921.1																	North America	Canada		Mephitidae	Nadin-Davis,S.A.,Fehlner-Gardiner,C.	1998
MK540920.1																	North America	Canada		Mephitidae	Nadin-Davis,S.A.,Fehlner-Gardiner,C.	1997
MK540919.1																	North America	Canada		Mephitidae	Nadin-Davis,S.A.,Fehlner-Gardiner,C.	1996
MK540918.1																	North America	Canada		Mephitidae	Nadin-Davis,S.A.,Fehlner-Gardiner,C.	1996
MK540917.1																	North America	Canada		Mephitidae	Nadin-Davis,S.A.,Fehlner-Gardiner,C.	1996
MK540916.1																	North America	Canada		Vulpes vulpes	Nadin-Davis,S.A.,Fehlner-Gardiner,C.	1996
MK540915.1																	North America	Canada		Vulpes vulpes	Nadin-Davis,S.A.,Fehlner-Gardiner,C.	1996
MK540914.1																	North America	Canada		Vulpes vulpes	Nadin-Davis,S.A.,Fehlner-Gardiner,C.	1996
MK540913.1																	North America	Canada		Mephitidae	Nadin-Davis,S.A.,Fehlner-Gardiner,C.	1996
MK540912.1																	North America	Canada		Mephitidae	Nadin-Davis,S.A.,Fehlner-Gardiner,C.	1995
MK540911.1																	North America	Canada		Vulpes vulpes	Nadin-Davis,S.A.,Fehlner-Gardiner,C.	1995
MK540910.1																	North America	Canada		Vulpes vulpes	Nadin-Davis,S.A.,Fehlner-Gardiner,C.	1995
MK540909.1																	North America	Canada		Vulpes vulpes	Nadin-Davis,S.A.,Fehlner-Gardiner,C.	1995
MK540908.1																	North America	Canada		Vulpes vulpes	Nadin-Davis,S.A.,Fehlner-Gardiner,C.	1995
MK540907.1																	North America	Canada		Mephitidae	Nadin-Davis,S.A.,Fehlner-Gardiner,C.	1995
MK540906.1																	North America	Canada		Vulpes vulpes	Nadin-Davis,S.A.,Fehlner-Gardiner,C.	1995
MK540905.1																	North America	Canada		Vulpes vulpes	Nadin-Davis,S.A.,Fehlner-Gardiner,C.	1993
MK540904.1																	North America	Canada		Vulpes vulpes	Nadin-Davis,S.A.,Fehlner-Gardiner,C.	1993
MK540903.1																	North America	Canada		Vulpes vulpes	Nadin-Davis,S.A.,Fehlner-Gardiner,C.	1993
MK540902.1																	North America	Canada		Mephitidae	Nadin-Davis,S.A.,Fehlner-Gardiner,C.	1993
MK540901.1																	North America	Canada		Vulpes vulpes	Nadin-Davis,S.A.,Fehlner-Gardiner,C.	1991
MK540900.1																	North America	Canada		Vulpes vulpes	Nadin-Davis,S.A.,Fehlner-Gardiner,C.	1991
MK540899.1																	North America	Canada		Vulpes vulpes	Nadin-Davis,S.A.,Fehlner-Gardiner,C.	1991
MK540898.1																	North America	Canada		Vulpes vulpes	Nadin-Davis,S.A.,Fehlner-Gardiner,C.	1991
MK540897.1																	North America	Canada		Mephitidae	Nadin-Davis,S.A.,Fehlner-Gardiner,C.	1991
MK540896.1																	North America	Canada		Mephitidae	Nadin-Davis,S.A.,Fehlner-Gardiner,C.	1991
MK540895.1																	North America	Canada		Vulpes vulpes	Nadin-Davis,S.A.,Fehlner-Gardiner,C.	1991
MK540894.1																	North America	Canada		Mephitidae	Nadin-Davis,S.A.,Fehlner-Gardiner,C.	1991
